,X,v,theta,theta_dot,energy
0,0.0,0.0,-1.3962634015954636,0.0,0.0
1,0.0,-0.5442882494239073,-1.3962634015954636,-0.1477614854286114,0.32726686214279427
2,-0.010885764988478146,-1.0885960861701456,-1.3992186313040358,-0.2955178689029806,0.6507198057151746
3,-0.03265768671188106,-1.6297975102163296,-1.4051289886820955,-0.44659622104146074,0.9798334233005515
4,-0.06525363691620764,-2.1742668340762146,-1.4140609131029247,-0.6018878081136624,1.3070247600603864
5,-0.10873897359773194,-2.7188910329295846,-1.426098669265198,-0.7647647519305919,1.634184134322094
6,-0.16311679425632364,-3.2637372912628315,-1.4413939643038098,-0.9378475867731985,1.7060197744466896
7,-0.22839154008158027,-3.7378161090583752,-1.4601509160392738,-1.1376257285115665,2.195997399823466
8,-0.3031478622627478,-4.271329429375109,-1.4829034306095052,-1.3414622884381175,2.5655198701713617
9,-0.38857445085025,-4.8175320126739685,-1.5097326763782677,-1.5624091104644275,2.8924546948390644
10,-0.4849250911037294,-5.364526510583293,-1.5409808585875562,-1.8057900612618425,3.2192949078684308
