,X,v,theta,theta_dot,energy
0,0.0,-2.0,0.3490658503988659,0.0,1.045005504483369
1,-0.04,-1.4991375280564245,0.3490658503988659,-0.6054312312332035,0.4804132169128024
2,-0.06998275056112849,-1.1988639567853296,0.33695722577420184,-0.9281245978061761,0.07657999762804304
3,-0.09396002969683508,-1.2628589878422394,0.3183947338180783,-0.7403288024400231,0.11177998646748921
4,-0.11921720945367986,-1.1833077697895449,0.30358815776927783,-0.7616237028505012,0.012192828012173806
5,-0.14288336484947076,-1.1774888604385203,0.28835568371226783,-0.6820627371955877,0.04755220420545796
6,-0.16643314205824117,-1.1430460930200643,0.2747144289683561,-0.6479872210618284,0.0635506057990598
7,-0.18929406391864245,-1.0940170021918771,0.2617546845471195,-0.6390191768022899,0.12943045659262603
8,-0.21117440396248,-0.9854992669975576,0.24897430101107368,-0.720171080274424,0.07390534544095001
9,-0.23088438930243116,-0.9182205335491452,0.2345708794055852,-0.7455328939071257,0.1179003423340228
10,-0.24924879997341406,-1.0417692716423703,0.21966022152744266,-0.4969518763481474,0.05159870353840411
11,-0.27008418540626145,-0.997600745042826,0.2097211840004797,-0.49755069558161896,0.12860032610851468
12,-0.29003620030711796,-0.877816118246654,0.19977017008884732,-0.6120836969816416,0.028644883751688374
13,-0.30759252267205106,-0.8497380826195342,0.1875284961492145,-0.5950205767779482,0.12280426604677985
14,-0.3245872843244417,-0.9886624995622653,0.17562808461365553,-0.33547658523014656,0.030509520865390223
15,-0.34436053431568703,-1.0206951299624223,0.1689185529090526,-0.2367971581679624,0.08981091499501846
16,-0.3647744369149355,-0.9382727775607776,0.16418260974569338,-0.3092448101732587,0.05200631904284778
17,-0.38353989246615106,-0.9937494534883824,0.1579977135422282,-0.17909572783761105,0.11821272311493848
18,-0.4034148815359187,-0.8810537687679942,0.15441579898547597,-0.2997753943183413,0.03766765800255748
19,-0.4210359569112786,-0.8422049268791445,0.14842029109910915,-0.3121372502777483,0.1036510236662817
20,-0.4378800554488615,-0.9621970183367585,0.14217754609355418,-0.09065238135627135,0.10050063991146015
21,-0.45712399581559665,-0.8628820899279829,0.14036449846642876,-0.1964620980464392,0.03342233943415956
22,-0.4743816376141563,-0.8275089241171908,0.13643525650549998,-0.20786822065062754,0.1158078782769203
23,-0.4909318160965001,-0.6946089612298016,0.13227789209248744,-0.3653779970413159,0.0526831656778225
24,-0.5048239953210961,-0.6242744019760531,0.12497033215166112,-0.4311817871539197,0.06938789800658512
