,X,v,theta,theta_dot,energy
668,-0.7496009665448656,-0.7162654185696649,0.3243423860512841,0.7746001595206785,0.39876868580356684
669,-0.763926274916259,-0.15495728588906577,0.3398343892416977,0.07023099109634379,0.09116897127589035
670,-0.7670254206340403,0.4212188209640032,0.34123900906362453,-0.6466064981386549,0.20733703677165777
671,-0.7586010442147603,0.9267960017861409,0.32830687910085143,-1.2628569208905547,0.4823635119242226
672,-0.7400651241790375,1.4584102692250374,0.30304974068304036,-1.9228901556166536,0.8247048960339988
673,-0.7108969187945368,2.036997251772385,0.2645919375707073,-2.663482887159926,0.995923305474558
674,-0.6701569737590891,2.5389042068236334,0.21132227982750879,-3.3132577106244803,1.43442798931393
675,-0.6193788896226164,3.121699096248616,0.14505712561501918,-4.106335760405246,1.7616648120274718
676,-0.5569449076976442,2.537552982810244,0.06293041040691426,-3.196821557666469,1.150278595365772
677,-0.5061938480414393,3.00623488115073,-0.0010060207464151205,-3.879963464805863,1.3559738374991885
678,-0.4460691504184247,2.538787659482284,-0.07860529004253239,-3.179088757172417,1.4371124883904596
679,-0.39529339722877904,1.9540340514661136,-0.14218706518598073,-2.3277529172047986,0.8600400477936139
680,-0.35621271619945677,1.5023345837893936,-0.1887421235300767,-1.6987035283911838,0.6733116034573744
681,-0.3261660245236689,1.9636698093341238,-0.22271619409790036,-2.433578412401534,1.1138530819511565
682,-0.2868926283369864,1.3821930187767753,-0.27138776234593104,-1.6478445708766634,0.49443422522309055
683,-0.2592487679614509,1.0189771327622603,-0.3043446537634643,-1.2017735856101648,0.5340528492708236
684,-0.2388692253062057,0.4873755147710883,-0.3283801254756676,-0.5291193435539256,0.26131355150291996
685,-0.22912171501078393,-0.05289231804660188,-0.33896251234674607,0.14316142822823874,0.028051294615613318
686,-0.23017956137171597,-0.6291059764741699,-0.3360992837821813,0.8605446149727872,0.35524182545473976
687,-0.24276168090119937,-1.205656085334695,-0.3188883914827255,1.5800180638805976,0.6822680966274919
688,-0.26687480260789326,-1.7833611902729865,-0.28728803020511356,2.3107154998999073,1.0091889679787653
689,-0.302542026413353,-2.3629012666583913,-0.24107372020711543,3.061092053789897,1.1547558511908231
690,-0.3498000517465208,-2.8655743101493414,-0.1798518791313175,3.723106155111473,1.3772212353316637
691,-0.4071115379495076,-3.362297822667134,-0.10538975602908804,4.403581497486346,1.8899294642080862
692,-0.4743574944028503,-2.780242611544061,-0.017318126079361104,3.5044155978587943,0.18785433242889518
693,-0.5299623466337315,-2.7102788882717395,0.05277018587781479,3.3943944755005284,0.4830728100472285
694,-0.5841679243991663,-2.5261359842531252,0.12065807538782536,3.1340718514222,0.9719989525149602
695,-0.6346906440842288,-2.1295673142408473,0.18333951241626936,2.5789311052959647,0.6078833174575653
696,-0.6772819903690458,-1.8373317189424716,0.23491813452218865,2.201524721189349,0.6674274400019784
697,-0.7140286247478952,-1.4668422625467414,0.2789486289459756,1.7294870958172375,0.6859535086976818
698,-0.74336546999883,-0.9915894430288392,0.31353837086232034,1.1251153362584514,0.5658735896113782
699,-0.7631972588594068,-0.41407014731893355,0.33604067758748934,0.3917464207225906,0.23836958050062423
700,-0.7714786618057855,0.16229472618074858,0.34387560600194117,-0.3274976970242036,0.08895818727532953
701,-0.7682327672821705,0.7383529363467196,0.3373256520614571,-1.0418784602280113,0.37018572045877546
702,-0.7534657085552361,1.2508877295689462,0.3164880828568969,-1.6700497764776348,0.7070192708290075
703,-0.7284479539638572,1.8287628464898238,0.2830870873273442,-2.402309676690011,1.033932570690428
704,-0.6918726970340607,2.408545076545739,0.235040893793544,-3.1552476155624287,1.3608642870475516
705,-0.643701795503146,2.9906149494332643,0.17193594148229543,-3.9358787198506517,1.3597171802309624
706,-0.5838894965144807,2.5202658567657608,0.0932183670852824,-3.1904572703990985,1.2329802044355442
707,-0.5334841793791655,3.0259123026484653,0.029409221677300437,-3.918267376214759,1.502021836341386
708,-0.4729659333261962,2.511407077243993,-0.04895612584699474,-3.138198196768096,1.4215470754274195
709,-0.4227377917813163,1.9263745323199335,-0.11172008978235666,-2.2760881333398397,0.6598998697280293
710,-0.38421030113491766,2.2800687312909673,-0.15724185244915345,-2.836099353166245,1.2349481444502592
711,-0.3386089265090983,1.7225546473496856,-0.21396383951247835,-2.0561841828020846,0.9789940279433171
712,-0.3041578335621046,1.141206574505539,-0.25508752316852007,-1.2664733459162292,0.31131007475369293
713,-0.2813337020719938,1.422746895682942,-0.2804169900868447,-1.7493034230420952,0.8080436407611292
714,-0.252878764158335,0.8436145809170771,-0.3154030585476866,-0.9959025856937535,0.4804331938668004
715,-0.23600647253999346,0.2662429766041976,-0.33532111026156164,-0.2637652585424879,0.14520912010005094
716,-0.23068161300790951,-0.2806961806709417,-0.34059641543241137,0.4142032689733861,0.15775466516552544
717,-0.23629553662132835,-0.8568976828420849,-0.33231235005294363,1.1306457027220753,0.44756558382231953
718,-0.25343349027817,-1.3890578589347715,-0.30969943599850214,1.7893031084422395,0.7081080816288209
719,-0.2812146474568655,-1.9091984392850696,-0.27391337382965736,2.4427925343967445,1.079347045622171
720,-0.3193986162425669,-2.488426175970305,-0.22505752314172248,3.19971617495176,1.4074265706955638
721,-0.36916713976197296,-3.0707792169473795,-0.16106319964268728,3.985606675840174,0.16351075420617928
722,-0.4305827241009206,-3.1260695686368454,-0.0813510661258838,4.020320682501157,1.2140800381591328
723,-0.4931041154736575,-2.7239866675930995,-0.0009446524758606606,3.3953001262921765,0.09205315573061396
724,-0.5475838488255195,-2.6890358693358376,0.06696135004998287,3.342596224511423,0.7062213760792873
725,-0.6013645662122362,-2.417869123666121,0.13381327454021133,2.956429591287249,0.8088755135354909
726,-0.6497219486855587,-2.0737607691361992,0.1929418663659563,2.4841051700739434,0.4130995632960785
727,-0.6911971640682827,-1.8705965891959917,0.24262396976743517,2.2413872710852707,0.7116060682172173
728,-0.7286090958522026,-1.4826753160291342,0.2874517151891406,1.7471818212300316,0.766456749326946
729,-0.7582626021727853,-0.9573326700778373,0.3223953516137412,1.0748522677290149,0.4959012282306731
730,-0.777409255574342,-0.43415184341854596,0.3438923969683215,0.42366385748265023,0.24962979203937202
731,-0.786092292442713,0.14192930303162865,0.35236567411797454,-0.2907397566212664,0.06250726311276326
732,-0.7832537063820804,0.604146954346324,0.3465508789855492,-0.8400024784837488,0.3216492407466982
