,X,v,theta,theta_dot,energy
0,0.0,0.0,-0.5235987755982988,0.0,0.0
1,0.0,-0.5687518211086796,-0.5235987755982988,0.5918302882931687,0.32439389490791637
2,-0.011375036422173593,-1.1326973989010778,-0.5117621698324354,1.1774170833733342,0.6514385229604819
3,-0.03402898440019515,-1.7026015879129557,-0.4882138281649687,1.7787756233168013,0.9744197546475408
4,-0.06808101615845427,-2.271974418115599,-0.45263831569863267,2.3951564471467903,1.0307334086299655
5,-0.11352050452076626,-2.7252135237797503,-0.40473518675569686,2.877973020476505,1.3496103858648494
6,-0.16802477499636126,-2.2231706207278927,-0.3471757263461668,2.0699812607701027,0.5069872947696391
7,-0.21248818741091913,-1.9902025526084528,-0.3057761011307647,1.6413468198066492,0.056426223080337935
8,-0.2522922384630882,-2.0154009551213345,-0.2729491647346317,1.5888873193699562,0.46736548017644025
9,-0.2926002575655149,-1.7792345887959837,-0.2411714183472326,1.1684977209608935,0.27946126980437097
10,-0.32818494934143455,-1.9334081230379516,-0.21780146392801472,1.3228460353695517,0.9446706939309326
11,-0.3668531118021936,-1.4407762915875393,-0.1913445432206237,0.537827456081055,0.3347921746576727
12,-0.3956686376339444,-1.6680968321389336,-0.18058799409900259,0.8166725219935729,0.7150415526955902
13,-0.4290305742767231,-1.2391162779708467,-0.1642545436591311,0.1308608869108796,0.3454818867848555
14,-0.45381289983614004,-1.5095837508773111,-0.1616373259209135,0.4830275863010106,0.3756486599349551
15,-0.48400457485368625,-1.261500902597058,-0.1519767741948933,0.06843919981755009,0.06196017881526526
16,-0.5092345929056274,-1.2114040614537547,-0.1506079901985423,-0.05034928854862686,0.018439442444299164
17,-0.5334626741347025,-1.1944822771301038,-0.15161497596951481,-0.11955617888221702,0.021708761796053008
18,-0.5573523196773046,-1.2099688799689556,-0.15400609954715916,-0.14099698249983567,0.027925401106034007
19,-0.5815516972766837,-1.1854408615208667,-0.15682603919715588,-0.22245258063638335,0.07005436576344956
20,-0.6052605145071009,-1.2403108013693072,-0.16127509080988353,-0.18707581106975,0.12448607031651139
21,-0.6300667305344871,-1.3351252852211046,-0.16501660703127852,-0.09390925195435211,0.167319349305874
22,-0.6567692362389093,-1.2111674434032538,-0.16689479207036556,-0.3256151818884203,0.01768559558192094
23,-0.6809925851069744,-1.2228880682413021,-0.17340709570813398,-0.35711812666474757,0.07369739010086514
24,-0.7054503464718004,-1.2783880909738459,-0.18054945824142893,-0.32584319099064385,0.03457003824089614
25,-0.7310181082912773,-1.3019029858465412,-0.1870663220612418,-0.343937811888299,0.20051992195583357
26,-0.7570561680082082,-1.4474483774940785,-0.19394507829900778,-0.1841057861961962,0.1348429313684942
27,-0.7860051355580897,-1.354620455212469,-0.19762719402293172,-0.37740015830891827,0.2934743779353813
28,-0.8130975446623391,-1.5600796164555217,-0.2051751971891101,-0.13293516199484917,0.5773587976603147
29,-0.8442991369914495,-1.198627400755386,-0.20783390042900707,-0.7236406341676742,0.5835784283381308
30,-0.8682716850065573,-1.657004605780429,-0.22230671311236055,-0.11153535411872151,0.2560440767104634
31,-0.9014117771221658,-1.5041617640769844,-0.224537420194735,-0.3999789238135644,0.6247141492453829
32,-0.9314950124037055,-1.90012630912522,-0.23253699867100627,0.11359747695078487,0.8356309759829219
33,-0.9694975385862099,-1.4684026486353057,-0.23026504913199058,-0.5843095862726932,0.896535092048727
34,-0.998865591558916,-2.0484468069977275,-0.24195124085744446,0.19569080495344338,1.0576198238124128
35,-1.0398345276988705,-1.5414053953275775,-0.23803742475837558,-0.613159556895372,0.8875852422693205
36,-1.070662635605422,-2.08807895547037,-0.25030061589628305,0.11440465584102011,0.9780784828073966
37,-1.1124242147148296,-1.6286115194933335,-0.24801252277946265,-0.626142009028362,0.9936943261059632
38,-1.1449964451046961,-2.2081033684512206,-0.2605353629600299,0.14432854859050326,0.8014578410081469
39,-1.1891585124737205,-1.8511428687286462,-0.2576487919882198,-0.4487760361006514,1.0797566988605771
40,-1.2261813698482935,-2.4080857942259115,-0.26662431271023285,0.28414933847770507,1.1593632762463661
41,-1.2743430857328117,-1.9347177023017785,-0.26094132594067876,-0.47827577995669057,1.0847950868509202
42,-1.3130374397788473,-2.469751327584178,-0.2705068415398126,0.22125726515117627,0.7623461183348994
43,-1.362432466330531,-2.1653299943078426,-0.26608169623678907,-0.29733222302098583,1.1812890236096212
44,-1.4057390662166878,-2.6881267502119757,-0.27202834069720877,0.38195781258694483,0.9823110988721852
45,-1.4595016012209272,-2.327610486430249,-0.2643891844454699,-0.21792477684186684,1.0910492324532948
46,-1.5060538109495323,-2.77719834696238,-0.2687476799823072,0.3561957978007124,0.8534152453278466
47,-1.56159777788878,-2.473631088612875,-0.26162376402629295,-0.1608740311463418,1.449041530311723
48,-1.6110703996610374,-3.0371768503149292,-0.26484124464921976,0.5796365642547129,1.4066787993313283
49,-1.671813936667336,-2.5802522870655036,-0.2532485133641255,-0.15880990870902867,1.5523426721889177
50,-1.7234189824086459,-3.1594850592049806,-0.2564247115383061,0.6086643518877162,1.4149400393228289
51,-1.7866086835927455,-2.717484424309113,-0.24425142450055176,-0.10722381161307404,1.5576505016170932
52,-1.8409583720789278,-3.270001698429871,-0.24639590073281326,0.625854860299037,1.4706890557403058
53,-1.9063584060475252,-2.8261133080309486,-0.23387880352683252,-0.09157774250084105,1.6980970311949204
54,-1.9628806722081442,-3.405969076700982,-0.23571035837684934,0.6863906471225512,1.7488294776408726
55,-2.0310000537421637,-2.899395300667811,-0.22198254543439833,-0.12111780275927575,1.543707602869451
56,-2.08898795975552,-3.41297488159213,-0.22440490148958384,0.5656207216788889,0.5779570316045913
57,-2.1572474573873626,-3.244110103116373,-0.21309248705600606,0.2532518387487562,1.261147200268071
58,-2.22212965944969,-3.6205159015971224,-0.20802745028103092,0.7429138463675602,1.5045848707487643
59,-2.294539977481633,-3.2098348943891315,-0.19316917335367972,0.07945372783725191,1.8836529105049995
60,-2.3587366753694154,-3.778757834744083,-0.1915800987969347,0.8605266479378842,2.1854313094283038
61,-2.434311832064297,-3.2076870148589385,-0.174369565838177,-0.03638825757268893,1.9255895044501259
62,-2.498465572361476,-3.789321836190253,-0.1750973309896308,0.7718289365181846,1.4167371393760775
63,-2.574252009085281,-3.419665994086141,-0.1596607522592671,0.1746074880134849,1.6449067171570697
64,-2.6426453289670038,-3.886915403110353,-0.1561686024989974,0.8198262912235154,1.8753980424741934
65,-2.7203836370292107,-3.410429060275425,-0.13977207667452707,0.06806754713183905,1.8959730543775772
66,-2.788592218234719,-3.950546339652836,-0.13841072573189028,0.8293831280466913,2.0587661684261453
67,-2.867603145027776,-3.4361150935642484,-0.12182306317095645,0.024552940967522585,1.8940630661155853
68,-2.936325446899061,-3.971757724073001,-0.121332004351606,0.7863347528209867,1.7248099513455806
69,-3.015760601380521,-3.543068092036215,-0.10560530929518627,0.11244355173532483,1.6647248827533645
70,-3.0866219632212455,-4.000247210577839,-0.10335643826047977,0.763401488161986,1.9091320166241945
71,-3.166626907432802,-3.529532116071761,-0.08808840849724005,0.030764099321975436,1.612034566508014
72,-3.2372175497542375,-3.9737875950736963,-0.08747312651080054,0.6686990541334934,1.2781493684527057
73,-3.3166933016557114,-3.65654386807839,-0.07409914542813067,0.16896854146613727,1.078423279380867
74,-3.389824179017279,-3.9437122772977125,-0.07071977459880793,0.5767739148470477,1.8122939514271752
75,-3.4686984245632333,-3.4915637737448133,-0.05918429630186698,-0.12052784131089789,1.2978990963912347
76,-3.5385297000381297,-3.8527160980743735,-0.061594853128084937,0.40286211727230437,1.039116538111769
77,-3.6155840219996174,-3.587531877135184,-0.05353761078263885,-0.012257324063556063,0.1462932996465513
78,-3.687334659542321,-3.626534866942562,-0.05378275726390997,0.030430796255708478,0.5018903297655297
79,-3.759865356881172,-3.7608065748682815,-0.0531741413387958,0.2157426253601244,0.6473919613301371
80,-3.835081488378538,-3.5917010805935745,-0.04885928883159331,-0.053182924036603296,0.05590300674002899
81,-3.906915509990409,-3.6061737608490714,-0.049922947312325376,-0.04585872703114457,0.3665099125011625
82,-3.9790389852073904,-3.5063793443316604,-0.05084012185294827,-0.21003510282102877,0.36289281496228065
83,-4.049166572094023,-3.606331743146472,-0.05504082390936885,-0.07524078213537025,0.3799993433327594
84,-4.121293206956953,-3.708224514252627,-0.056545639552076254,0.06119308751617192,0.9307608993437112
85,-4.195457697242005,-3.46241227270449,-0.05532177780175282,-0.3235515203507136,1.1966209156965961
86,-4.264705942696095,-3.797301443551847,-0.06179280820876709,0.16175742830264705,0.650510755898395
87,-4.340651971567132,-3.6290119479599583,-0.05855765964271415,-0.10835055356120527,0.4252391475618186
88,-4.413232210526331,-3.742311352019916,-0.06072467071393826,0.04410114337363816,0.23659240096859888
89,-4.488078437566729,-3.67974763481186,-0.059842647846465494,-0.06741354156172329,0.053255565068227304
90,-4.561673390262967,-3.6929961449656172,-0.06119091867769996,-0.0651595887148249,0.18491620609480922
91,-4.635533313162279,-3.740919696843964,-0.06249411045199646,-0.01138770541809303,0.03568775673469989
92,-4.710351707099158,-3.7493292501731506,-0.06272186456035832,-0.01715931142761532,0.3603980205310874
93,-4.7853382921026215,-3.6546999118161976,-0.06306505078891063,-0.17725234414668742,1.1496995107895904
