,X,v,theta,theta_dot,energy
0,0.0,-2.0,-1.2217304763960306,0.0,1.1058794738453228
1,-0.04,-2.502384405187263,-1.2217304763960306,-0.01853125111096426,1.501603411313535
2,-0.09004768810374526,-3.047895115268756,-1.22210110141825,-0.014937404750381975,1.5781641167589642
3,-0.15100559040912037,-3.5180268704863784,-1.2223998495132575,-0.05029810691038222,2.020789146512976
4,-0.22136612781884796,-4.039963518057708,-1.2234058116514652,-0.059358224178633165,2.4245283407862805
5,-0.3021653981800021,-4.585453987787159,-1.2245929761350378,-0.05723137622305523,2.7518011956741693
6,-0.39387447793574526,-5.1309280899399,-1.225737603659499,-0.05614503919803218,3.0790739857779714
7,-0.4964930397345433,-5.676386612318178,-1.2268605044434595,-0.05606177823556611,3.105924649782105
8,-0.6100207719809069,-6.173347947927488,-1.2279817400081707,-0.0814842884814781,3.633690016246803
9,-0.7334877309394566,-6.7082353760415385,-1.2296114257778004,-0.08868213154698446,4.025748478227131
10,-0.8676524384602874,-7.253646338673087,-1.23138506840874,-0.09199065849675556,4.353020898324504
11,-1.0127253652337491,-7.799034563867085,-1.233224881578675,-0.09685242023276068,4.416942416474344
12,-1.1687060565110907,-8.313476821055238,-1.2351619299833303,-0.11868730848108096,4.694297156146239
13,-1.3349755929321954,-8.826345415262281,-1.237535676152952,-0.14289862887459337,5.29707687179693
14,-1.511502501237441,-9.37166521253113,-1.2403936487304437,-0.15314052469972012,5.531995242648471
15,-1.6989358054880637,-9.907930822940008,-1.2434564592244381,-0.17027247508390972,5.946244101087889
16,-1.8970944219468637,-10.453184974716615,-1.2468619087261164,-0.18569187051867664,4.8283313180256675
17,-2.106158121441196,-10.871876776494346,-1.25057574613649,-0.26449740886751855,6.525378602444874
18,-2.323595656971083,-11.417082227826544,-1.2558656943138402,-0.28612588079860385,6.452159726398097
19,-2.5519373015276137,-11.930150370075179,-1.2615882119298123,-0.3272816511583429,5.5763562953219425
20,-2.7905403089291174,-12.35380935754433,-1.268133844952979,-0.4139567126025142,7.415606013228746
21,-3.037616496080004,-12.898912342545595,-1.2764129792050294,-0.4508810014745308,7.7428621995659626
22,-3.295594742930916,-13.443961688947944,-1.28543059923452,-0.49501456538668276,6.849104045828682
23,-3.5644739767098748,-13.905989235614568,-1.2953308905422538,-0.5820278831367224,6.844311030137835
24,-3.842593761422166,-14.352252527307503,-1.3069714482049883,-0.6828717235388779,7.942230380231812
25,-4.1296388119683165,-14.854420949137053,-1.320628882675766,-0.7702697634790228,8.375362293037863
26,-4.426727230951058,-15.36615906827792,-1.3360342779453465,-0.8650842440419615,7.97879686396886
27,-4.734050412316616,-15.837305629773448,-1.3533359628261856,-0.9866285307919698,8.451422460892124
