,X,v,theta,theta_dot,energy
0,0.0,-2.0,-0.5235987755982988,0.0,0.7729182597110572
1,-0.04,-1.6236412944812704,-0.5235987755982988,-0.6359042998719696,0.4759427575428197
2,-0.0724728258896254,-1.3411392198765335,-0.5363168615957382,-1.149885259716233,0.37604524524421157
3,-0.09929561028715608,-1.0758220636799594,-0.5593145667900629,-1.6422100002219742,0.40313935036261733
4,-0.12081205156075528,-0.7323623394664625,-0.5921587667945023,-2.2348924534682792,0.06837201588030266
5,-0.13545929835008452,-0.6485410213030469,-0.6368566158638679,-2.5033141523296742,0.11019781794727204
6,-0.14843011877614545,-0.5034540154766958,-0.6869228989104613,-2.8531156690940964,0.008135615565688984
7,-0.15849919908567936,-0.4886931701097421,-0.7439852122923433,-3.056678646115605,0.0056799215759216915
8,-0.16827306248787421,-0.49687019327534404,-0.8051187852146554,-3.246758263872186,0.039027772720044505
9,-0.1782104663533811,-0.5586943509206483,-0.8700539504920991,-3.394438090354075,0.01583430370837196
10,-0.18938435337179405,-0.5828050399628991,-0.9379427122991806,-3.5958416982167933,0.05447459378101443
11,-0.20104045417105204,-0.510788449189584,-1.0098595462635165,-3.8967976682610557,0.02826629465997026
12,-0.21125622315484371,-0.4728319043748594,-1.0877954996287376,-4.176032430313542,0.005779342338670651
13,-0.2207128612423409,-0.471875678813045,-1.1713161482350083,-4.437066524944292,0.02870059287390019
14,-0.23015037481860182,-0.5323407300838872,-1.260057478733894,-4.672642063988888,0.0003154176772422959
15,-0.24079718942027956,-0.5469537221447086,-1.3535103200136718,-4.945859641349512,0.0060878216058089345
16,-0.2517362638631737,-0.5564166493120243,-1.452427512840662,-5.2298865328280035,0.023091720410486714
17,-0.2628645968494142,-0.6162911115351072,-1.557025243497222,-5.511223197889714,0.01325725605891048
