,X,v,theta,theta_dot,energy
0,0.0,-2.0,-1.3962634015954636,0.0,0.7591194332912631
1,-0.04,-1.651944814802257,-1.3962634015954636,-0.38019220234126033,0.6236088509827151
2,-0.07303889629604515,-1.3065059650944921,-1.4038672456422887,-0.7597029218475206,0.4981527110923988
3,-0.09916901559793499,-0.9590032983085581,-1.419061304079239,-1.136225132091302,0.19504305251345355
4,-0.11834908156410616,-0.7743699554914807,-1.4417858067210652,-1.4687091128898175,0.19497597076973375
5,-0.13383648067393578,-0.5476860540620259,-1.4711599889788616,-1.8040112069419227,0.06925164526544728
6,-0.1447902017551763,-0.4356683172314997,-1.5072402131177,-2.113266955376675,0.017992282112007634
7,-0.15350356809980628,-0.4016676636152226,-1.5495055522252337,-2.4099126087553273,0.04220397550380229
